x	y
63.2	20
67.4	9.26
67.8	6.81
68.4	7.7
66.7	8.13
69.4	9.56
47.1	6.77
65.4	3.23
63.5	19.1
68.1	11.3
55.5	15.4
54.6	15.1
59.6	18.7
69.8	10.2
-34.7	10.7
29.4	36
66.8	15.5
67.4	19.3
67.8	18
65.3	11.6
67.6	7.67
68	12.7
65.3	5.35
66.9	8.62
67.6	19.8
67.8	11.3
67.5	17.6
67.2	17.6
66.4	13.5
67.1	17.7
66.4	13.9
67.4	17.6
67.2	17.6
65	10.2
67.2	17.6
70.3	23.1
70.3	23.1
70.1	10.7
17.2	-4.12
68.1	5.23
68.5	5.64
69.9	9.08
67.8	5.04
68.7	5.96
70.1	9.97
69.7	7.93
-45.2	14.3
32.1	39.6
62	-2.71
62.1	-2.87
62.6	-2.59
28.9	44.9
18.7	4.25
64.8	7.29
66.1	9.83
59.7	-4.45
17.3	2.64
65.7	9.1
67.7	13.6
56.4	18.1
29	43.1
-4.9	22.3
37.2	36.5
66.6	6.06
54.1	14.6
48.9	7.25
-43.4	12.9
-42.8	13.9
-43.6	12.3
-27.2	36.2
53.2	29.6
52.3	37.3
52.3	21.9
59.6	18.7
45.6	7.24
60.8	20.3
37.8	39.4
55.2	14.1
-43	15.3
63.9	23.4
17.5	19.9
28.9	3.27
27.9	43.8
37.1	36.5
48.9	10.6
29.8	42.1
27.7	38.8
-63.4	13.2
-58.8	-0.396
-58.8	-0.427
68.4	24.2
62.2	15.3
52.4	12.9
31.4	19.2
35.4	12
42.3	-1.24
67.5	2.87
62.6	-0.93
62.6	0.544
66.6	6.06
63.7	1.71
70.1	22.7
67.4	12.9
66.9	12.9
64.1	-2.37
5.65	-24.4
-16.8	-22
-8.19	-22
-7.93	-23.7
-46.4	-13.4
-23.5	-25.9
-21.1	-22.5
-11.7	13.3
-9.98	-24.1
-6.07	11.1
-30	-26.6
4.76	64.6
-25.5	-19.5
-29.3	-28.1
15.9	-72.3
24.7	-8.74
-55.4	-4.63
22.8	-6.29
-18.1	-20.3
-23.6	-21.4
-22.3	-16.6
-7.11	12.7
-8.64	16.8
-8.99	-24.1
6.41	-33.6
16.4	-68.4
10.7	-34.4
-14.3	-25.7
-6.67	-23.3
-21.3	-49.6
-15.5	28.8
21.5	-5.66
-26.8	-20.8
-24.1	-24.9
-22.4	-17.1
5.86	-42.5
4.82	65.4
5.39	66.8
-22.4	-18.3
19.2	-64.6
4.03	-36.7
-23.8	-16.5
25.2	-43.7
-22.6	-17
-8.79	8.23
15.6	-48.4
-10.8	37.7
5.27	57.4
6.23	57.4
19.1	-36.1
-66.9	3.71
-13.4	11.7
-24.2	-20.2
13.9	-45.4
-16.9	-21.4
-11.5	-14.6
-19	-20.9
-24.5	-22.2
-30.3	-18.6
-2.06	-32.9
12.5	-5.01
-19.1	-36.5
-28.6	-25.6
-2.6	-65.1
-33.1	-22.9
-31.1	-23.2
10.2	-6.01
-22.9	-22.4
-23.5	-18.5
-13.2	-13.2
-25.2	-19.6
-28	-18.6
